game_num,team_health,team_count,team_avg_health,team_resource,o_team_health,o_team_count,o_team_health_avg,o_team_resource,result,time_ticks
1,0.0,1,0.0,9,1.0,3,0.3333333333333333,5,L,635
2,0.9333333333333333,1,0.9333333333333333,3,0.0,3,0.0,5,W,379
3,0.6333333333333333,1,0.6333333333333333,2,0.0,3,0.0,8,W,399
4,0.7333333333333333,1,0.7333333333333333,5,0.0,3,0.0,3,W,329
5,0.6666666666666666,1,0.6666666666666666,0,0.0,3,0.0,10,W,377
6,0.16666666666666666,1,0.16666666666666666,8,0.0,3,0.0,5,W,283
7,0.0,1,0.0,0,2.0,3,0.6666666666666666,8,L,105
8,1.0,1,1.0,0,0.0,3,0.0,11,W,263
9,0.6,1,0.6,4,0.0,3,0.0,6,W,265
10,0.6666666666666666,1,0.6666666666666666,0,0.0,3,0.0,10,W,519
11,0.6,1,0.6,0,0.0,3,0.0,5,W,323
12,0.7666666666666667,1,0.7666666666666667,0,0.0,3,0.0,9,W,457
13,0.7333333333333333,1,0.7333333333333333,1,0.0,3,0.0,9,W,469
14,0.0,1,0.0,0,1.0,3,0.3333333333333333,9,L,159
15,0.7,1,0.7,1,0.0,3,0.0,6,W,419
16,0.7,1,0.7,0,0.0,3,0.0,10,W,361
17,0.6666666666666666,1,0.6666666666666666,0,0.0,3,0.0,10,W,255
18,1.0,1,1.0,0,0.0,3,0.0,10,W,179
19,0.5333333333333333,1,0.5333333333333333,5,0.0,3,0.0,7,W,523
20,0.6666666666666666,1,0.6666666666666666,0,0.0,3,0.0,10,W,395
21,0.3,1,0.3,5,0.0,3,0.0,6,W,313
22,0.0,1,0.0,1,1.7333333333333334,3,0.5777777777777778,9,L,137
23,0.0,1,0.0,0,0.36666666666666664,3,0.12222222222222222,6,L,251
24,0.8666666666666667,1,0.8666666666666667,3,0.0,3,0.0,8,W,725
25,0.7666666666666667,1,0.7666666666666667,0,0.0,3,0.0,10,W,723
26,1.0,1,1.0,0,0.0,3,0.0,5,W,489
27,0.0,1,0.0,1,1.8,3,0.6,6,L,121
28,0.6666666666666666,1,0.6666666666666666,8,0.0,3,0.0,5,W,337
29,0.43333333333333335,1,0.43333333333333335,4,0.0,3,0.0,8,W,433
30,0.6333333333333333,1,0.6333333333333333,4,0.0,3,0.0,9,W,427
31,0.7,1,0.7,2,0.0,3,0.0,8,W,225
32,0.9,1,0.9,1,0.0,3,0.0,7,W,639
33,0.5333333333333333,1,0.5333333333333333,2,0.0,3,0.0,9,W,379
34,0.0,1,0.0,1,2.0,3,0.6666666666666666,8,L,135
35,0.03333333333333333,1,0.03333333333333333,1,0.0,3,0.0,8,W,335
36,0.0,1,0.0,0,1.0,3,0.3333333333333333,10,L,371
37,0.7666666666666667,1,0.7666666666666667,0,0.0,3,0.0,10,W,629
38,0.8,1,0.8,3,0.0,3,0.0,8,W,535
39,0.2,1,0.2,0,0.0,3,0.0,8,W,441
40,0.5,1,0.5,0,0.0,3,0.0,7,W,249
41,0.2,1,0.2,5,0.0,3,0.0,7,W,169
42,0.8333333333333334,1,0.8333333333333334,3,0.0,3,0.0,6,W,487
43,0.5333333333333333,1,0.5333333333333333,2,0.0,3,0.0,9,W,337
44,0.0,1,0.0,9,1.0,3,0.3333333333333333,5,L,263
45,0.5333333333333333,1,0.5333333333333333,8,0.0,3,0.0,6,W,345
46,0.0,1,0.0,1,0.23333333333333334,3,0.07777777777777778,9,L,1237
47,0.4,1,0.4,1,0.0,3,0.0,9,W,251
48,0.06666666666666667,1,0.06666666666666667,10,0.0,3,0.0,4,W,711
49,0.6,1,0.6,1,0.0,3,0.0,8,W,211
50,0.0,1,0.0,1,0.1,3,0.03333333333333333,9,L,505
51,0.6666666666666666,1,0.6666666666666666,9,0.0,3,0.0,5,W,355
52,0.0,1,0.0,0,2.0,3,0.6666666666666666,10,L,135
53,0.6666666666666666,1,0.6666666666666666,5,0.0,3,0.0,7,W,533
54,0.7666666666666667,1,0.7666666666666667,1,0.0,3,0.0,8,W,475
55,0.6333333333333333,1,0.6333333333333333,4,0.0,3,0.0,8,W,509
56,0.0,1,0.0,0,1.0,3,0.3333333333333333,10,L,117
57,0.0,1,0.0,0,2.0,3,0.6666666666666666,8,L,93
58,0.6333333333333333,1,0.6333333333333333,0,0.0,3,0.0,10,W,665
59,0.6,1,0.6,5,0.0,3,0.0,7,W,483
60,0.0,1,0.0,0,2.0,3,0.6666666666666666,4,L,99
61,0.6333333333333333,1,0.6333333333333333,3,0.0,3,0.0,8,W,359
62,0.0,1,0.0,0,2.0,3,0.6666666666666666,5,L,95
63,0.0,1,0.0,2,1.6666666666666665,3,0.5555555555555555,9,L,207
64,0.0,1,0.0,7,0.8,3,0.26666666666666666,5,L,349
65,0.0,1,0.0,0,1.3666666666666667,3,0.45555555555555555,10,L,367
66,0.6333333333333333,1,0.6333333333333333,2,0.0,3,0.0,9,W,1147
67,0.0,1,0.0,1,2.0,3,0.6666666666666666,2,L,59
68,0.8,1,0.8,9,0.0,3,0.0,4,W,427
69,0.0,1,0.0,2,0.8,3,0.26666666666666666,8,L,283
70,0.43333333333333335,1,0.43333333333333335,7,0.0,3,0.0,6,W,393
71,0.03333333333333333,1,0.03333333333333333,8,0.0,3,0.0,6,W,623
72,0.8666666666666667,1,0.8666666666666667,2,0.0,3,0.0,9,W,689
73,0.4666666666666667,1,0.4666666666666667,10,0.0,3,0.0,5,W,349
74,0.7,1,0.7,1,0.0,3,0.0,9,W,291
75,0.3,1,0.3,2,0.0,3,0.0,8,W,591
76,0.6333333333333333,1,0.6333333333333333,0,0.0,3,0.0,10,W,195
77,1.0,1,1.0,4,0.0,3,0.0,7,W,441
78,0.43333333333333335,1,0.43333333333333335,3,0.0,3,0.0,9,W,173
79,0.8666666666666667,1,0.8666666666666667,0,0.0,3,0.0,10,W,523
80,0.7666666666666667,1,0.7666666666666667,10,0.0,3,0.0,5,W,269
81,0.23333333333333334,1,0.23333333333333334,3,0.0,3,0.0,8,W,345
82,0.8333333333333334,1,0.8333333333333334,5,0.0,3,0.0,8,W,469
83,1.0,1,1.0,0,0.0,3,0.0,11,W,219
84,0.5333333333333333,1,0.5333333333333333,1,0.0,3,0.0,9,W,385
